"des","pitcher_name","pitch_type","start_speed","end_speed"
"Foul","Mariano Rivera","FC","92.2","84.9"
"Foul","Mariano Rivera","FC","91.4","84.7"
"Called Strike","Mariano Rivera","FC","92.2","85.2"
"Called Strike","Mariano Rivera","FC","91.7","84.7"
"Called Strike","Mariano Rivera","FC","91.9","85.0"
"Swinging Strike","Mariano Rivera","FC","91.5","84.4"
"Called Strike","Phil Hughes","FF","91.9","85.5"
"Ball","Phil Hughes","FC","88.0","82.7"
"Called Strike","Phil Hughes","FF","90.9","84.8"
"Ball","Phil Hughes","FF","92.2","86.0"
"Foul","Phil Hughes","FF","91.7","85.5"
"Ball","Phil Hughes","FF","92.1","85.4"
"Called Strike","Phil Hughes","FF","91.2","83.8"
"Foul","Phil Hughes","FF","91.7","85.0"
"In play, out(s)","Phil Hughes","FF","91.1","84.1"
"Called Strike","Phil Hughes","FF","90.3","83.7"
"Ball","Phil Hughes","FF","91.3","84.6"
"Ball","Phil Hughes","FC","88.3","82.5"
"Ball","Phil Hughes","FC","87.5","81.9"
"Called Strike","Phil Hughes","FF","91.5","85.3"
"Called Strike","Phil Hughes","FF","91.5","85.0"
"Ball","Phil Hughes","FC","88.3","82.9"
"Ball","Phil Hughes","FF","90.0","83.9"
"In play, out(s)","Phil Hughes","FF","90.2","83.9"
"Called Strike","Phil Hughes","FF","89.8","84.3"
"In play, out(s)","Phil Hughes","FF","90.3","84.4"
"Called Strike","Phil Hughes","FF","90.0","82.7"
"Foul","Phil Hughes","FF","90.5","83.1"
"Hit By Pitch","Phil Hughes","FF","89.1","82.3"
"Called Strike","Phil Hughes","FF","91.1","84.3"
"Swinging Strike","Phil Hughes","FC","87.7","82.0"
"In play, no out","Phil Hughes","FF","91.9","85.1"
"Foul","Phil Hughes","FF","91.4","83.9"
"Ball","Phil Hughes","FF","89.3","83.2"
"Called Strike","Phil Hughes","FF","91.3","84.3"
"Foul","Phil Hughes","FF","91.0","83.5"
"Ball","Phil Hughes","FF","91.0","83.9"
"Called Strike","Phil Hughes","FF","89.4","82.6"
"Foul","Phil Hughes","FF","90.6","83.8"
"Called Strike","Phil Hughes","FF","91.8","84.3"
"Foul","Phil Hughes","FF","91.2","83.5"
"Called Strike","Mariano Rivera","FC","89.6","82.9"
"In play, out(s)","Mariano Rivera","FC","89.5","83.0"
"Ball","Mariano Rivera","FC","89.8","83.6"
"Called Strike","Mariano Rivera","FC","89.6","83.5"
"In play, no out","Mariano Rivera","FC","90.0","84.4"
"Ball","Mariano Rivera","FC","91.8","85.5"
"In play, no out","Mariano Rivera","FC","91.2","85.3"
"Ball","Mariano Rivera","FC","91.6","85.4"
"Swinging Strike","Mariano Rivera","FC","90.9","84.8"
"Ball","Mariano Rivera","FC","90.2","84.0"
"In play, out(s)","Mariano Rivera","FC","91.4","84.4"
"Called Strike","Mariano Rivera","FC","92.0","85.8"
"Ball","Mariano Rivera","FC","91.9","85.9"
"In play, out(s)","Mariano Rivera","FC","92.0","85.5"
"Called Strike","Phil Hughes","FF","92.9","84.8"
