colour	x	y	group	clickSelects
#C49A00	0.0883361921097783	0.627319805834754	61	Albania
#C49A00	0.105488850771871	0.638612504177044	61	Albania
#C49A00	0.122641509433963	0.647191382601371	61	Albania
#C49A00	0.139794168096056	0.653295482240404	61	Albania
#C49A00	0.156946826758149	0.657512335035491	61	Albania
#C49A00	0.174099485420241	0.660811406693221	61	Albania
#C49A00	0.191252144082334	0.66399988857415	61	Albania
#C49A00	0.208404802744426	0.667459334409919	61	Albania
#C49A00	0.225557461406519	0.671369880125623	61	Albania
#C49A00	0.242710120068611	0.675671480412898	61	Albania
#C49A00	0.259862778730704	0.680017924664649	61	Albania
#C49A00	0.277015437392797	0.684210075275916	61	Albania
#C49A00	0.294168096054889	0.688241851709142	61	Albania
#C49A00	0.311320754716982	0.692192680986156	61	Albania
#C49A00	0.328473413379074	0.696117287944959	61	Albania
#C49A00	0.345626072041167	0.700116001455224	61	Albania
#C49A00	0.362778730703259	0.704249626892516	61	Albania
#C49A00	0.379931389365352	0.708572509061236	61	Albania
#C49A00	0.397084048027445	0.713199798141355	61	Albania
#C49A00	0.414236706689537	0.718285787773353	61	Albania
#C49A00	0.43138936535163	0.723751430969006	61	Albania
#C49A00	0.448542024013722	0.729425712609549	61	Albania
#C49A00	0.465694682675815	0.73505172998324	61	Albania
#C49A00	0.482847341337907	0.740054872291041	61	Albania
#C49A00	0.5	0.743790982585608	61	Albania
#C49A00	0.517152658662093	0.745934372074098	61	Albania
#C49A00	0.534305317324185	0.746470979513415	61	Albania
#C49A00	0.551457975986278	0.745611723550032	61	Albania
#C49A00	0.56861063464837	0.743916773706297	61	Albania
#C49A00	0.585763293310463	0.742141256739944	61	Albania
#C49A00	0.602915951972555	0.741108705456215	61	Albania
#C49A00	0.620068610634648	0.741448075458559	61	Albania
#C49A00	0.637221269296741	0.743485055539821	61	Albania
#C49A00	0.654373927958833	0.747420303439346	61	Albania
#C49A00	0.671526586620926	0.753197574184744	61	Albania
#C49A00	0.688679245283018	0.760287100941446	61	Albania
