size	colour	x	y	clickSelects	tooltip	key	fill
2	#F8766D	0.499782430765574	0.736663265084569	Solomon Islands	Solomon Islands population 179354	Solomon Islands	#F8766D
3.60996894379985	#FB61D7	0.350084156539944	0.669463925136244	Sudan	Sudan population 11283574	Sudan	#FB61D7
3.39427400463467	#C49A00	0.794118071802256	0.157381071281238	Sweden	Sweden population 8136312	Sweden	#C49A00
2.80498447189992	#F8766D	0.710152308725006	0.257257311592157	Singapore	Singapore population 2193000	Singapore	#F8766D
2.80498447189992	#C49A00	0.709005747362102	0.193640488959333	Slovenia	Slovenia population 1766697	Slovenia	#C49A00
3.13841995766062	#C49A00	0.720288184797265	0.2312026402067	Slovak Republic	Slovak Republic population 4641445	Slovak Republic	#C49A00
2.80498447189992	#FB61D7	0.205724214254886	0.577186963979417	Sierra Leone	Sierra Leone population 2695784	Sierra Leone	#FB61D7
3.13841995766062	#FB61D7	0.284698996099449	0.764672036823935	Senegal	Senegal population 4625876	Senegal	#FB61D7
2.80498447189992	#FB61D7	0.266871620052442	0.724721540699568	Somalia	Somalia population 3526527	Somalia	#FB61D7
2	#53B400	0.626588241160049	0.512158846646547	Suriname	Suriname population 369777	Suriname	#53B400
2	#FB61D7	0.512928552961654	0.661647523720607	Sao Tome and Principe	Sao Tome and Principe population 79038	Sao Tome and Principe	#FB61D7
2.80498447189992	#53B400	0.517954497285287	0.595316672818464	El Salvador	El Salvador population 4038088	El Salvador	#53B400
3.39427400463467	#00C094	0.595701770610733	0.771511388062618	Syrian Arab Republic	Syrian Arab Republic population 7066474	Syrian Arab Republic	#00C094
2	#FB61D7	0.402899325717789	0.697798380267929	Swaziland	Swaziland population 486656	Swaziland	#FB61D7
2.80498447189992	#FB61D7	0.327833949488139	0.671635147751699	Chad	Chad population 3908721	Chad	#FB61D7
2.80498447189992	#FB61D7	0.357472769737682	0.737314631869206	Togo	Togo population 2303345	Togo	#FB61D7
5.11769145362398	#F8766D	0.580991430128372	0.490989426145863	Thailand	Thailand population 40162277	Thailand	#F8766D
2.80498447189992	#C49A00	0.575816892668213	0.682057016305882	Tajikistan	Tajikistan population 3212446	Tajikistan	#C49A00
2	#F8766D	0.220960141202244	0.528443016262457	Timor-Leste	Timor-Leste population 653367	Timor-Leste	#F8766D
2.80498447189992	#C49A00	0.548734558427373	0.612360770349784	Turkmenistan	Turkmenistan population 2385039	Turkmenistan	#C49A00
3.13841995766062	#00C094	0.499952305783545	0.624411055865558	Tunisia	Tunisia population 5388708.88571644	Tunisia	#00C094
2	#F8766D	0.65275963486828	0.551675098247823	Tonga	Tonga population 86985	Tonga	#F8766D
5.01197609552267	#C49A00	0.431977976444986	0.522255031808411	Turkey	Turkey population 37366922	Turkey	#C49A00
2	#53B400	0.652433946075437	0.325216579455892	Trinidad and Tobago	Trinidad and Tobago population 982594	Trinidad and Tobago	#53B400
3.9718012070186	#FB61D7	0.374637367191083	0.686942267190655	Tanzania	Tanzania population 14983047	Tanzania	#FB61D7
5.41525987298185	#C49A00	0.709937969776157	0.174750852204877	Ukraine	Ukraine population 48126562	Ukraine	#C49A00
3.60996894379985	#FB61D7	0.421486768959296	0.72439585730725	Uganda	Uganda population 10256553	Uganda	#FB61D7
9.15485848916665	#00B6EB	0.739408435142117	0.157272510150466	United States	United States population 211909000	United States	#00B6EB
2.80498447189992	#53B400	0.699534930085029	0.277666804177432	Uruguay	Uruguay population 2822306	Uruguay	#53B400
3.8	#C49A00	0.617855069095239	0.630381918058058	Uzbekistan	Uzbekistan population 13161372	Uzbekistan	#C49A00
2	#53B400	0.591193812080151	0.541361790824413	St. Vincent and the Grenadines	St. Vincent and the Grenadines population 93516	St. Vincent and the Grenadines	#53B400
3.60996894379985	#53B400	0.644884578666062	0.485778491868771	Venezuela, RB	Venezuela, RB population 11881567	Venezuela, RB	#53B400
2	#53B400	0.702548976544822	0.487406908830362	Virgin Islands (U.S.)	Virgin Islands (U.S.) population 84000	Virgin Islands (U.S.)	#53B400
5.31903600462544	#F8766D	0.379740078301362	0.71408254988384	Vietnam	Vietnam population 45824811.2	Vietnam	#F8766D
2	#F8766D	0.47332791202739	0.611926525826693	Vanuatu	Vanuatu population 93761	Vanuatu	#F8766D
2	#F8766D	0.507454929060459	0.558840132878824	Samoa	Samoa population 148889	Samoa	#F8766D
3.13841995766062	#00C094	0.27788955410392	0.798108865101939	Yemen, Rep.	Yemen, Rep. population 6394922	Yemen, Rep.	#00C094
4.41495341569977	#FB61D7	0.466982871087701	0.540384740647459	South Africa	South Africa population 23655907.712	South Africa	#FB61D7
3.13841995766062	#FB61D7	0.411964647146596	0.761740886293072	Zambia	Zambia population 4638227	Zambia	#FB61D7
3.13841995766062	#FB61D7	0.499172856875585	0.758484052369889	Zimbabwe	Zimbabwe population 5768337	Zimbabwe	#FB61D7
