colour	y	x	showSelected	clickSelects	PANEL	fill
#F8766D	0.312727272727273	0.654545454545455	2011_07_20	526	1	#F8766D
#F8766D	0.48948051948052	0.613030303030303	2011_07_20	527	1	#F8766D
#F8766D	0.263896103896104	0.539545454545455	2011_07_20	528	1	#F8766D
#F8766D	0.245064935064935	0.357424242424242	2011_07_20	529	1	#F8766D
#F8766D	0.49025974025974	0.564090909090909	2011_07_18	536	1	#F8766D
#F8766D	0.305454545454545	0.55	2011_07_24	540	1	#F8766D
#F8766D	0.404155844155844	0.522878787878788	2011_07_24	541	1	#F8766D
#F8766D	0.39038961038961	0.524545454545455	2011_07_26	542	1	#F8766D
#F8766D	0.514675324675325	0.553030303030303	2011_07_26	543	1	#F8766D
#F8766D	0.380909090909091	0.659090909090909	2011_07_26	544	1	#F8766D
#F8766D	0.272207792207792	0.664848484848485	2011_07_24	545	1	#F8766D
#F8766D	0.445064935064935	0.623636363636364	2011_07_24	546	1	#F8766D
#F8766D	0.52948051948052	0.341212121212121	2011_07_24	547	1	#F8766D
#F8766D	0.392727272727273	0.526060606060606	2011_07_24	548	1	#F8766D
#F8766D	0.39974025974026	0.636515151515151	2011_07_24	556	1	#F8766D
#F8766D	0.364285714285714	0.636363636363636	2011_07_24	557	1	#F8766D
#F8766D	0.445064935064935	0.522272727272727	2011_07_24	558	1	#F8766D
#F8766D	0.536493506493507	0.526212121212121	2011_07_24	559	1	#F8766D
#F8766D	0.441038961038961	0.484393939393939	2011_07_24	560	1	#F8766D
#F8766D	0.401038961038961	0.544242424242424	2011_07_24	561	1	#F8766D
#F8766D	0.603636363636364	0.554242424242424	2011_07_24	567	1	#F8766D
#F8766D	0.545714285714286	0.540151515151515	2011_07_24	568	1	#F8766D
#F8766D	0.531688311688312	0.323636363636364	2011_07_24	569	1	#F8766D
#F8766D	0.464545454545455	0.581515151515152	2011_07_24	570	1	#F8766D
#F8766D	0.493636363636364	0.514090909090909	2011_08_01	571	1	#F8766D
#F8766D	0.476103896103896	0.749090909090909	2011_08_01	572	1	#F8766D
#00BFC4	0.505324675324675	0.666212121212121	2011_08_01	573	1	#00BFC4
#F8766D	0.402727272727273	0.613181818181818	2011_08_05	580	1	#F8766D
#F8766D	0.518831168831169	0.729090909090909	2011_08_05	581	1	#F8766D
#F8766D	0.44025974025974	0.502424242424242	2011_08_05	582	1	#F8766D
#F8766D	0.441168831168831	0.611969696969697	2011_08_05	583	1	#F8766D
#F8766D	0.30038961038961	0.758787878787879	2011_08_05	584	1	#F8766D
#F8766D	0.278051948051948	0.564242424242424	2011_08_05	585	1	#F8766D
#F8766D	0.496883116883117	0.697272727272727	2011_08_05	586	1	#F8766D
#F8766D	0.391818181818182	0.358181818181818	2011_08_05	587	1	#F8766D
#F8766D	0.414415584415585	0.597575757575758	2011_07_31	593	1	#F8766D
#F8766D	0.331428571428571	0.617727272727273	2011_07_31	594	1	#F8766D
#F8766D	0.436363636363636	0.671818181818182	2011_07_31	595	1	#F8766D
#F8766D	0.31948051948052	0.551363636363636	2011_07_31	596	1	#F8766D
#F8766D	0.317142857142857	0.638787878787879	2011_07_31	597	1	#F8766D
#F8766D	0.216883116883117	0.335757575757576	2011_08_05	598	1	#F8766D
#F8766D	0.32025974025974	0.763030303030303	2011_08_05	599	1	#F8766D
#F8766D	0.442597402597403	0.615606060606061	2011_08_05	600	1	#F8766D
#F8766D	0.443896103896104	0.635606060606061	2011_08_05	604	1	#F8766D
#F8766D	0.352337662337662	0.621818181818182	2011_08_05	605	1	#F8766D
#00BFC4	0.314285714285714	0.383030303030303	2011_08_05	606	1	#00BFC4
#F8766D	0.355324675324675	0.604848484848485	2011_08_11	607	1	#F8766D
#F8766D	0.53948051948052	0.609090909090909	2011_08_07	613	1	#F8766D
#F8766D	0.516883116883117	0.49530303030303	2011_08_09	618	1	#F8766D
#F8766D	0.373766233766234	0.651666666666667	2011_08_09	619	1	#F8766D
#F8766D	0.367792207792208	0.623787878787879	2011_08_09	620	1	#F8766D
#F8766D	0.61025974025974	0.595	2011_08_09	621	1	#F8766D
#F8766D	0.398571428571429	0.567575757575758	2011_08_09	622	1	#F8766D
#F8766D	0.305584415584416	0.633181818181818	2011_08_09	623	1	#F8766D
#F8766D	0.261038961038961	0.682272727272727	2011_08_09	624	1	#F8766D
#F8766D	0.381428571428572	0.618939393939394	2011_08_09	625	1	#F8766D
#F8766D	0.408441558441558	0.536515151515152	2011_08_09	626	1	#F8766D
#F8766D	0.476103896103896	0.630909090909091	2011_08_09	627	1	#F8766D
#F8766D	0.35961038961039	0.278787878787879	2011_08_11	633	1	#F8766D
#F8766D	0.458441558441559	0.362272727272727	2011_08_11	634	1	#F8766D
#F8766D	0.255454545454545	0.401818181818182	2011_08_11	635	1	#F8766D
#F8766D	0.420519480519481	0.436666666666667	2011_08_11	636	1	#F8766D
#F8766D	0.336233766233766	0.419545454545454	2011_08_11	637	1	#F8766D
#F8766D	0.260649350649351	0.587575757575758	2011_08_09	638	1	#F8766D
#F8766D	0.432987012987013	0.535454545454545	2011_08_09	639	1	#F8766D
#F8766D	0.313246753246753	0.33030303030303	2011_08_11	640	1	#F8766D
#F8766D	0.404675324675325	0.303181818181818	2011_08_11	641	1	#F8766D
#F8766D	0.403506493506494	0.296969696969697	2011_08_11	642	1	#F8766D
#F8766D	0.254155844155844	0.445606060606061	2011_08_11	643	1	#F8766D
#F8766D	0.503116883116883	0.498787878787879	2011_08_07	644	1	#F8766D
#F8766D	0.374805194805195	0.747727272727273	2011_08_16	661	1	#F8766D
#F8766D	0.315324675324675	0.416515151515152	2011_08_16	662	1	#F8766D
#F8766D	0.401168831168831	0.69469696969697	2011_08_16	663	1	#F8766D
#F8766D	0.387662337662338	0.460454545454545	2011_08_16	664	1	#F8766D
#F8766D	0.333506493506494	0.390606060606061	2011_08_16	665	1	#F8766D
#F8766D	0.247402597402597	0.422424242424242	2011_08_15	666	1	#F8766D
#F8766D	0.335064935064935	0.358030303030303	2011_08_15	667	1	#F8766D
#F8766D	0.417922077922078	0.623181818181818	2011_08_15	668	1	#F8766D
#F8766D	0.431298701298701	0.284393939393939	2011_08_15	669	1	#F8766D
#F8766D	0.494415584415584	0.293939393939394	2011_08_15	670	1	#F8766D
#F8766D	0.487272727272727	0.699545454545455	2011_08_15	671	1	#F8766D
#F8766D	0.358051948051948	0.365909090909091	2011_08_15	672	1	#F8766D
#F8766D	0.32974025974026	0.40530303030303	2011_08_21	673	1	#F8766D
#F8766D	0.392987012987013	0.698787878787879	2011_08_21	674	1	#F8766D
#F8766D	0.556103896103896	0.585909090909091	2011_08_21	675	1	#F8766D
#F8766D	0.298051948051948	0.401212121212121	2011_08_21	676	1	#F8766D
#F8766D	0.449220779220779	0.632424242424242	2011_08_21	677	1	#F8766D
#F8766D	0.417142857142857	0.626666666666667	2011_08_24	683	1	#F8766D
#F8766D	0.39948051948052	0.74969696969697	2011_08_24	684	1	#F8766D
#F8766D	0.301428571428571	0.395909090909091	2011_08_24	685	1	#F8766D
#F8766D	0.437922077922078	0.641515151515152	2011_08_24	686	1	#F8766D
