x	y	label	showSelected	key
0.669510755767874	0.330101830340665	Suriname	Suriname	Suriname
0.562795041458435	0.613120698265193	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe
0.544110689649629	0.453644397160041	El Salvador	El Salvador	El Salvador
0.69157018595386	0.662624573897562	Syrian Arab Republic	Syrian Arab Republic	Syrian Arab Republic
0.512803521908158	0.654482489089606	Swaziland	Swaziland	Swaziland
0.401200575538081	0.684988166836746	Chad	Chad	Chad
0.423553391661143	0.706808954122066	Togo	Togo	Togo
0.705689574192496	0.247161126430293	Thailand	Thailand	Thailand
0.610872711812961	0.551457975986278	Tajikistan	Tajikistan	Tajikistan
0.263497301742458	0.531265605662549	Timor-Leste	Timor-Leste	Timor-Leste
0.593862027966444	0.465477560414269	Turkmenistan	Turkmenistan	Turkmenistan
0.641682795609228	0.464283387975769	Tunisia	Tunisia	Tunisia
0.695430947268325	0.52496906007773	Tonga	Tonga	Tonga
0.55396040042316	0.373200599257442	Turkey	Turkey	Turkey
0.68857666130832	0.292973923616388	Trinidad and Tobago	Trinidad and Tobago	Trinidad and Tobago
0.423431780910023	0.659367739974379	Tanzania	Tanzania	Tanzania
0.711295449785534	0.180178908743513	Ukraine	Ukraine	Ukraine
0.403306721734041	0.72439585730725	Uganda	Uganda	Uganda
0.789382853180519	0.149401828169442	United States	United States	United States
0.738609224487101	0.229682784375882	Uruguay	Uruguay	Uruguay
0.664275792965753	0.45440432507545	Uzbekistan	Uzbekistan	Uzbekistan
0.676004389844089	0.326627874155937	St. Vincent and the Grenadines	St. Vincent and the Grenadines	St. Vincent and the Grenadines
0.709774555329338	0.372440671342033	Venezuela, RB	Venezuela, RB	Venezuela, RB
0.760380209172772	0.329667585817574	Virgin Islands (U.S.)	Virgin Islands (U.S.)	Virgin Islands (U.S.)
0.56513984875347	0.455055691860086	Vietnam	Vietnam	Vietnam
0.572472216978814	0.526706038170094	Vanuatu	Vanuatu	Vanuatu
0.593043435597968	0.478287773845452	Samoa	Samoa	Samoa
0.449203759307545	0.954545454545454	Yemen, Rep.	Yemen, Rep.	Yemen, Rep.
0.552270010982592	0.431172243090084	South Africa	South Africa	South Africa
0.431032832888625	0.698558308183338	Zambia	Zambia	Zambia
0.580177398163062	0.651877021951061	Zimbabwe	Zimbabwe	Zimbabwe
