fill	x	y	tooltip	clickSelects	PANEL	group	xmin	xmax	ymin	ymax	colour	size
#FAFAFC	0.297979797979798	0.784090909090909	( 0 ,  0.37 )	px=-1; pz=3.7	7	12	0.247474747474747	0.348484848484849	0.727272727272727	0.840909090909091	#FAFAFC	0
#FEFEFE	0.297979797979798	0.897727272727273	( 0 ,  Inf )	px=-1; pz=4.2	7	208	0.247474747474747	0.348484848484849	0.840909090909091	0.954545454545454	#FEFEFE	0
#FFFFFF	0.398989898989899	0.102272727272727	( 0 ,  Inf )	px=-0.5; pz=0.7	7	110	0.348484848484849	0.44949494949495	0.0454545454545455	0.159090909090909	#FFFFFF	0
#F8F2F2	0.398989898989899	0.215909090909091	( 2.93 ,  26.29 )	px=-0.5; pz=1.2	7	1725	0.348484848484849	0.44949494949495	0.159090909090909	0.272727272727273	#F8F2F2	0
#BB8787	0.398989898989899	0.329545454545455	( 1.46 ,  1.74 )	px=-0.5; pz=1.7	7	1642	0.348484848484849	0.44949494949495	0.272727272727273	0.386363636363636	#BB8787	0
#FDFBFB	0.398989898989899	0.443181818181818	( 1 ,  1.02 )	px=-0.5; pz=2.2	7	1536	0.348484848484849	0.44949494949495	0.386363636363636	0.5	#FDFBFB	0
#FFFFFF	0.398989898989899	0.556818181818182	( 1 ,  1 )	px=-0.5; pz=2.7	7	1513	0.348484848484849	0.44949494949495	0.5	0.613636363636364	#FFFFFF	0
#FCFCFD	0.398989898989899	0.670454545454545	( 0.95 ,  1.04 )	px=-0.5; pz=3.2	7	1442	0.348484848484849	0.44949494949495	0.613636363636364	0.727272727272727	#FCFCFD	0
#F8F8FB	0.398989898989899	0.784090909090909	( 0.14 ,  1.17 )	px=-0.5; pz=3.7	7	1183	0.348484848484849	0.44949494949495	0.727272727272727	0.840909090909091	#F8F8FB	0
#FEFEFE	0.398989898989899	0.897727272727273	( 0 ,  Inf )	px=-0.5; pz=4.2	7	136	0.348484848484849	0.44949494949495	0.840909090909091	0.954545454545454	#FEFEFE	0
#FFFFFF	0.5	0.102272727272727	( 0 ,  Inf )	px=0; pz=0.7	7	552	0.44949494949495	0.55050505050505	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FAF6F6	0.5	0.215909090909091	( 2.06 ,  25.84 )	px=0; pz=1.2	7	1692	0.44949494949495	0.55050505050505	0.159090909090909	0.272727272727273	#FAF6F6	0
#AC6C6C	0.5	0.329545454545455	( 1.67 ,  2.13 )	px=0; pz=1.7	7	1661	0.44949494949495	0.55050505050505	0.272727272727273	0.386363636363636	#AC6C6C	0
#FCF9F9	0.5	0.443181818181818	( 1.01 ,  1.02 )	px=0; pz=2.2	7	1568	0.44949494949495	0.55050505050505	0.386363636363636	0.5	#FCF9F9	0
#FEFEFE	0.5	0.556818181818182	( 1 ,  1.01 )	px=0; pz=2.7	7	1532	0.44949494949495	0.55050505050505	0.5	0.613636363636364	#FEFEFE	0
#F8F3F3	0.5	0.670454545454545	( 0.98 ,  1.09 )	px=0; pz=3.2	7	1479	0.44949494949495	0.55050505050505	0.613636363636364	0.727272727272727	#F8F3F3	0
#FBFBFD	0.5	0.784090909090909	( 0.33 ,  1.88 )	px=0; pz=3.7	7	1251	0.44949494949495	0.55050505050505	0.727272727272727	0.840909090909091	#FBFBFD	0
#FEFEFE	0.5	0.897727272727273	( 0 ,  Inf )	px=0; pz=4.2	7	578	0.44949494949495	0.55050505050505	0.840909090909091	0.954545454545454	#FEFEFE	0
#FFFFFF	0.601010101010101	0.102272727272727	( 0 ,  Inf )	px=0.5; pz=0.7	7	601	0.55050505050505	0.651515151515151	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FDFBFB	0.601010101010101	0.215909090909091	( 0.54 ,  1113.36 )	px=0.5; pz=1.2	7	1307	0.55050505050505	0.651515151515151	0.159090909090909	0.272727272727273	#FDFBFB	0
#B17676	0.601010101010101	0.329545454545455	( 2.16 ,  3.76 )	px=0.5; pz=1.7	7	1699	0.55050505050505	0.651515151515151	0.272727272727273	0.386363636363636	#B17676	0
#F2E9E9	0.601010101010101	0.443181818181818	( 1.03 ,  1.12 )	px=0.5; pz=2.2	7	1596	0.55050505050505	0.651515151515151	0.386363636363636	0.5	#F2E9E9	0
#FDFBFB	0.601010101010101	0.556818181818182	( 0.98 ,  1.04 )	px=0.5; pz=2.7	7	1475	0.55050505050505	0.651515151515151	0.5	0.613636363636364	#FDFBFB	0
#FDFDFE	0.601010101010101	0.670454545454545	( 0.85 ,  1.16 )	px=0.5; pz=3.2	7	1400	0.55050505050505	0.651515151515151	0.613636363636364	0.727272727272727	#FDFDFE	0
#F9F9FC	0.601010101010101	0.784090909090909	( 0.17 ,  2.03 )	px=0.5; pz=3.7	7	1197	0.55050505050505	0.651515151515151	0.727272727272727	0.840909090909091	#F9F9FC	0
#FDFDFE	0.601010101010101	0.897727272727273	( 0 ,  Inf )	px=0.5; pz=4.2	7	638	0.55050505050505	0.651515151515151	0.840909090909091	0.954545454545454	#FDFDFE	0
#FFFFFF	0.702020202020202	0.102272727272727	( 0 ,  Inf )	px=1; pz=0.7	7	662	0.651515151515151	0.752525252525252	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.702020202020202	0.215909090909091	( 0 ,  Inf )	px=1; pz=1.2	7	685	0.651515151515151	0.752525252525252	0.159090909090909	0.272727272727273	#FFFFFF	0
#FEFEFE	0.702020202020202	0.329545454545455	( 0.25 ,  3.15 )	px=1; pz=1.7	7	1225	0.651515151515151	0.752525252525252	0.272727272727273	0.386363636363636	#FEFEFE	0
#F3F3F8	0.702020202020202	0.443181818181818	( 0.5 ,  1.32 )	px=1; pz=2.2	7	1299	0.651515151515151	0.752525252525252	0.386363636363636	0.5	#F3F3F8	0
#D2D2E7	0.702020202020202	0.556818181818182	( 0.27 ,  0.78 )	px=1; pz=2.7	7	1231	0.651515151515151	0.752525252525252	0.5	0.613636363636364	#D2D2E7	0
#DDDDED	0.702020202020202	0.670454545454545	( 0.07 ,  0.62 )	px=1; pz=3.2	7	1153	0.651515151515151	0.752525252525252	0.613636363636364	0.727272727272727	#DDDDED	0
#F9F9FC	0.702020202020202	0.784090909090909	( 0 ,  1.68 )	px=1; pz=3.7	7	48	0.651515151515151	0.752525252525252	0.727272727272727	0.840909090909091	#F9F9FC	0
#FEFEFE	0.702020202020202	0.897727272727273	( 0 ,  Inf )	px=1; pz=4.2	7	728	0.651515151515151	0.752525252525252	0.840909090909091	0.954545454545454	#FEFEFE	0
#FFFFFF	0.803030303030303	0.102272727272727	( 0 ,  Inf )	px=1.5; pz=0.7	7	752	0.752525252525252	0.853535353535353	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.803030303030303	0.215909090909091	( 0 ,  Inf )	px=1.5; pz=1.2	7	776	0.752525252525252	0.853535353535353	0.159090909090909	0.272727272727273	#FFFFFF	0
#FDFDFE	0.803030303030303	0.329545454545455	( 0 ,  Inf )	px=1.5; pz=1.7	7	799	0.752525252525252	0.853535353535353	0.272727272727273	0.386363636363636	#FDFDFE	0
#FBFBFD	0.803030303030303	0.443181818181818	( 0 ,  4.75 )	px=1.5; pz=2.2	7	88	0.752525252525252	0.853535353535353	0.386363636363636	0.5	#FBFBFD	0
#FDFDFE	0.803030303030303	0.556818181818182	( 0 ,  39.44 )	px=1.5; pz=2.7	7	86	0.752525252525252	0.853535353535353	0.5	0.613636363636364	#FDFDFE	0
#FDFDFE	0.803030303030303	0.670454545454545	( 0 ,  Inf )	px=1.5; pz=3.2	7	844	0.752525252525252	0.853535353535353	0.613636363636364	0.727272727272727	#FDFDFE	0
#FEFEFE	0.803030303030303	0.784090909090909	( 0 ,  Inf )	px=1.5; pz=3.7	7	865	0.752525252525252	0.853535353535353	0.727272727272727	0.840909090909091	#FEFEFE	0
#FFFFFF	0.803030303030303	0.897727272727273	( 0 ,  Inf )	px=1.5; pz=4.2	7	889	0.752525252525252	0.853535353535353	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.904040404040404	0.102272727272727	( 0 ,  Inf )	px=2; pz=0.7	7	913	0.853535353535353	0.954545454545454	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.904040404040404	0.215909090909091	( 0 ,  Inf )	px=2; pz=1.2	7	937	0.853535353535353	0.954545454545454	0.159090909090909	0.272727272727273	#FFFFFF	0
#FFFFFF	0.904040404040404	0.329545454545455	( 0 ,  Inf )	px=2; pz=1.7	7	961	0.853535353535353	0.954545454545454	0.272727272727273	0.386363636363636	#FFFFFF	0
#FFFFFF	0.904040404040404	0.443181818181818	( 0 ,  Inf )	px=2; pz=2.2	7	985	0.853535353535353	0.954545454545454	0.386363636363636	0.5	#FFFFFF	0
#FFFFFF	0.904040404040404	0.556818181818182	( 0 ,  Inf )	px=2; pz=2.7	7	1008	0.853535353535353	0.954545454545454	0.5	0.613636363636364	#FFFFFF	0
#FFFFFF	0.904040404040404	0.670454545454545	( 0 ,  Inf )	px=2; pz=3.2	7	1032	0.853535353535353	0.954545454545454	0.613636363636364	0.727272727272727	#FFFFFF	0
#FFFFFF	0.904040404040404	0.784090909090909	( 0 ,  Inf )	px=2; pz=3.7	7	1056	0.853535353535353	0.954545454545454	0.727272727272727	0.840909090909091	#FFFFFF	0
#FFFFFF	0.904040404040404	0.897727272727273	( 0 ,  Inf )	px=2; pz=4.2	7	1080	0.853535353535353	0.954545454545454	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.095959595959596	0.102272727272727	( 0 ,  Inf )	px=-2; pz=0.7	8	362	0.0454545454545455	0.146464646464646	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.095959595959596	0.215909090909091	( 0 ,  Inf )	px=-2; pz=1.2	8	386	0.0454545454545455	0.146464646464646	0.159090909090909	0.272727272727273	#FFFFFF	0
#FFFFFF	0.095959595959596	0.329545454545455	( 0 ,  Inf )	px=-2; pz=1.7	8	410	0.0454545454545455	0.146464646464646	0.272727272727273	0.386363636363636	#FFFFFF	0
#FFFFFF	0.095959595959596	0.443181818181818	( 0 ,  Inf )	px=-2; pz=2.2	8	434	0.0454545454545455	0.146464646464646	0.386363636363636	0.5	#FFFFFF	0
#FFFFFF	0.095959595959596	0.556818181818182	( 0 ,  Inf )	px=-2; pz=2.7	8	458	0.0454545454545455	0.146464646464646	0.5	0.613636363636364	#FFFFFF	0
#FEFEFE	0.095959595959596	0.670454545454545	( 0 ,  Inf )	px=-2; pz=3.2	8	482	0.0454545454545455	0.146464646464646	0.613636363636364	0.727272727272727	#FEFEFE	0
#FCFCFD	0.095959595959596	0.784090909090909	( 0 ,  Inf )	px=-2; pz=3.7	8	506	0.0454545454545455	0.146464646464646	0.727272727272727	0.840909090909091	#FCFCFD	0
#F9F9FC	0.095959595959596	0.897727272727273	( 0 ,  Inf )	px=-2; pz=4.2	8	530	0.0454545454545455	0.146464646464646	0.840909090909091	0.954545454545454	#F9F9FC	0
#FFFFFF	0.196969696969697	0.102272727272727	( 0 ,  Inf )	px=-1.5; pz=0.7	8	233	0.146464646464646	0.247474747474747	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.196969696969697	0.215909090909091	( 0 ,  Inf )	px=-1.5; pz=1.2	8	257	0.146464646464646	0.247474747474747	0.159090909090909	0.272727272727273	#FFFFFF	0
#FEFEFE	0.196969696969697	0.329545454545455	( 0 ,  Inf )	px=-1.5; pz=1.7	8	276	0.146464646464646	0.247474747474747	0.272727272727273	0.386363636363636	#FEFEFE	0
#FBFBFD	0.196969696969697	0.443181818181818	( 0.1 ,  2.22 )	px=-1.5; pz=2.2	8	1165	0.146464646464646	0.247474747474747	0.386363636363636	0.5	#FBFBFD	0
#FBFBFD	0.196969696969697	0.556818181818182	( 0.05 ,  1.73 )	px=-1.5; pz=2.7	8	1142	0.146464646464646	0.247474747474747	0.5	0.613636363636364	#FBFBFD	0
#FCFCFD	0.196969696969697	0.670454545454545	( 0 ,  1.39 )	px=-1.5; pz=3.2	8	41	0.146464646464646	0.247474747474747	0.613636363636364	0.727272727272727	#FCFCFD	0
#FCFCFD	0.196969696969697	0.784090909090909	( 0 ,  0.53 )	px=-1.5; pz=3.7	8	22	0.146464646464646	0.247474747474747	0.727272727272727	0.840909090909091	#FCFCFD	0
#FBFBFD	0.196969696969697	0.897727272727273	( 0 ,  Inf )	px=-1.5; pz=4.2	8	338	0.146464646464646	0.247474747474747	0.840909090909091	0.954545454545454	#FBFBFD	0
#FFFFFF	0.297979797979798	0.102272727272727	( 0 ,  Inf )	px=-1; pz=0.7	8	161	0.247474747474747	0.348484848484849	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FEFEFE	0.297979797979798	0.215909090909091	( 0.09 ,  Inf )	px=-1; pz=1.2	8	1162	0.247474747474747	0.348484848484849	0.159090909090909	0.272727272727273	#FEFEFE	0
#E0C9C9	0.297979797979798	0.329545454545455	( 1.36 ,  3.41 )	px=-1; pz=1.7	8	1635	0.247474747474747	0.348484848484849	0.272727272727273	0.386363636363636	#E0C9C9	0
#FBFBFC	0.297979797979798	0.443181818181818	( 0.81 ,  1.17 )	px=-1; pz=2.2	8	1379	0.247474747474747	0.348484848484849	0.386363636363636	0.5	#FBFBFC	0
